
Target:'72',   Steps:4,    Buffer: 3,   Solution: 2    Method: [0,128,64] [0,64,32] [0,32,16] [128,16,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [128,64,96] [0,96,48] [96,48,72] 
Target:'72',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 3,   Solution: 2    Method: [0,128,64] [0,64,32] [0,32,16] [128,16,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [128,64,96] [0,96,48] [96,48,72] 
Target:'72',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 3,   Solution: 2    Method: [0,128,64] [0,64,32] [0,32,16] [128,16,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [128,64,96] [0,96,48] [96,48,72] 
Target:'72',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 3,   Solution: 2    Method: [0,128,64] [0,64,32] [0,32,16] [128,16,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [128,64,96] [0,96,48] [96,48,72] 
Target:'72',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 3,   Solution: 2    Method: [0,128,64] [0,64,32] [0,32,16] [128,16,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [128,64,96] [0,96,48] [96,48,72] 
Target:'72',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 3,   Solution: 2    Method: [0,128,64] [0,64,32] [0,32,16] [128,16,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [128,64,96] [0,96,48] [96,48,72] 
Target:'72',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 3,   Solution: 2    Method: [0,128,64] [0,64,32] [0,32,16] [128,16,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [128,32,80] [64,80,72] 
Target:'72',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [128,64,96] [0,96,48] [96,48,72] 
Target:'72',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [64,80,72] 
