
Target:'88',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [64,32,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [128,64,96] [0,96,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [96,80,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [64,112,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [64,32,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [128,64,96] [0,96,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [96,80,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [64,112,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [64,32,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [128,64,96] [0,96,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [96,80,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [64,112,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [64,32,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [128,64,96] [0,96,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [96,80,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [64,112,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [64,32,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [128,64,96] [0,96,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [96,80,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [64,112,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [64,32,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [128,64,96] [0,96,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [96,80,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [64,112,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 2    Method: [0,128,64] [0,64,32] [64,32,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 2,   Solution: 3    Method: [0,128,64] [128,64,96] [0,96,48] [128,48,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 2    Method: [0,128,64] [128,64,96] [64,96,80] [96,80,88] 
Target:'88',   Steps:4,    Buffer: 1,   Solution: 3    Method: [0,128,64] [128,64,96] [128,96,112] [64,112,88] 
